"First_pokemon","Second_pokemon","Winner","First_Name","First_Type 1","First_Type 2","First_HP","First_Attack","First_Defense","First_Sp. Atk","First_Sp. Def","First_Speed","First_Generation","First_Legendary","Second_Name","Second_Type 1","Second_Type 2","Second_HP","Second_Attack","Second_Defense","Second_Sp. Atk","Second_Sp. Def","Second_Speed","Second_Generation","Second_Legendary"
266,298,298,"Larvitar","Rock","Ground",50,64,50,45,50,41,2,False,"Nuzleaf","Grass","Dark",70,70,40,60,40,60,3,False
702,701,701,"Virizion","Grass","Fighting",91,90,72,90,129,108,5,True,"Terrakion","Rock","Fighting",91,129,90,72,90,108,5,True
191,668,668,"Togetic","Fairy","Flying",55,40,85,80,105,40,2,False,"Beheeyem","Psychic","",75,75,75,125,95,40,5,False
237,683,683,"Slugma","Fire","",40,40,40,70,40,20,2,False,"Druddigon","Dragon","",77,120,90,60,90,48,5,False
151,231,151,"Omastar","Rock","Water",70,60,125,115,70,55,1,False,"Shuckle","Bug","Rock",20,10,230,10,230,5,2,False
657,752,657,"Joltik","Bug","Electric",50,47,50,57,50,65,5,False,"Aegislash Shield Forme","Steel","Ghost",60,50,150,50,150,60,6,False
192,134,134,"Natu","Psychic","Flying",40,50,45,70,45,70,2,False,"Jynx","Ice","Psychic",65,50,35,115,95,95,1,False
73,545,545,"Machop","Fighting","",70,80,50,35,35,35,1,False,"Giratina Altered Forme","Ghost","Dragon",150,100,120,100,120,90,4,True
220,763,763,"Pineco","Bug","",50,65,90,35,35,15,2,False,"Clauncher","Water","",50,53,62,58,63,44,6,False
302,31,31,"Wingull","Water","Flying",40,30,30,55,30,85,3,False,"Pikachu","Electric","",35,55,40,50,50,90,1,False
442,130,130,"Starly","Normal","Flying",40,55,30,30,30,60,4,False,"Staryu","Water","",30,45,55,70,55,85,1,False
701,624,701,"Terrakion","Rock","Fighting",91,129,90,72,90,108,5,True,"Yamask","Ghost","",38,30,85,55,65,30,5,False
15,283,283,"Metapod","Bug","",50,20,55,25,25,30,1,False,"Swampert","Water","Ground",100,110,90,85,90,60,3,False
151,87,151,"Omastar","Rock","Water",70,60,125,115,70,55,1,False,"Slowbro","Water","Psychic",95,75,110,100,80,30,1,False
269,462,269,"Mega Tyranitar","Rock","Dark",100,164,150,95,120,71,2,False,"Mothim","Bug","Flying",70,94,50,94,50,66,4,False
763,448,448,"Clauncher","Water","",50,53,62,58,63,44,6,False,"Kricketune","Bug","",77,85,51,55,51,65,4,False
143,263,263,"Lapras","Water","Ice",130,85,80,85,95,60,1,False,"Raikou","Electric","",90,85,75,115,100,115,2,True
365,240,240,"Swablu","Normal","Flying",45,40,60,40,75,50,3,False,"Piloswine","Ice","Ground",100,100,80,60,60,50,2,False
499,774,499,"Mega Lucario","Fighting","Steel",70,145,88,140,70,112,4,False,"Carbink","Rock","Fairy",50,50,150,50,150,50,6,False
563,578,563,"Samurott","Water","",95,100,85,108,70,70,5,False,"Musharna","Psychic","",116,55,85,107,95,29,5,False
440,687,687,"Prinplup","Water","",64,66,68,81,76,50,4,False,"Bisharp","Dark","Steel",65,125,100,60,70,70,5,False
373,441,441,"Whiscash","Water","Ground",110,78,73,76,71,60,3,False,"Empoleon","Water","Steel",84,86,88,111,101,60,4,False
654,671,671,"Frillish","Water","Ghost",55,40,50,65,85,40,5,False,"Chandelure","Ghost","Fire",60,55,90,145,90,80,5,False
121,355,121,"Rhydon","Ground","Rock",105,130,120,45,45,40,1,False,"Mega Camerupt","Fire","Ground",70,120,100,145,105,20,3,False
609,649,649,"Petilil","Grass","",45,35,50,70,50,30,5,False,"Emolga","Electric","Flying",55,75,60,75,60,103,5,False
270,708,270,"Lugia","Psychic","Flying",106,90,130,90,154,110,2,True,"Zekrom","Dragon","Electric",100,150,120,120,100,90,5,True
460,568,568,"Wormadam Sandy Cloak","Bug","Ground",60,79,105,59,85,36,4,False,"Stoutland","Normal","",85,110,90,45,90,80,5,False
626,767,767,"Tirtouga","Water","Rock",54,78,103,53,45,22,5,False,"Tyrunt","Rock","Dragon",58,89,77,45,45,48,6,False
139,451,139,"Tauros","Normal","",75,100,95,40,70,110,1,False,"Luxray","Electric","",80,120,79,95,79,70,4,False
694,747,694,"Durant","Bug","Steel",58,109,112,48,48,109,5,False,"Meowstic Male","Psychic","",74,48,76,83,81,104,6,False
455,549,549,"Rampardos","Rock","",97,165,60,65,50,58,4,False,"Manaphy","Water","",100,100,100,100,100,100,4,False
181,301,301,"Ledian","Bug","Flying",55,35,50,55,110,85,2,False,"Swellow","Normal","Flying",60,85,60,50,50,125,3,False
208,184,184,"Sunflora","Grass","",75,75,55,105,85,30,2,False,"Crobat","Poison","Flying",85,90,80,70,80,130,2,False
536,365,536,"Fan Rotom","Electric","Flying",50,65,107,105,107,86,4,False,"Swablu","Normal","Flying",45,40,60,40,75,50,3,False
260,381,381,"Magby","Fire","",45,75,37,70,55,83,2,False,"Armaldo","Rock","Bug",75,125,100,70,80,45,3,False
471,269,269,"Gastrodon","Water","Ground",111,83,68,92,82,39,4,False,"Mega Tyranitar","Rock","Dark",100,164,150,95,120,71,2,False
621,287,287,"Scraggy","Dark","Fighting",50,75,70,35,70,48,5,False,"Zigzagoon","Normal","",38,30,41,30,41,60,3,False
